,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Pisco,PE,-13.7,-76.22,66.2,72,3,18.34,clear sky
340,Wau,SS,7.7,28.0,71.55,92,98,3.2,overcast clouds
341,Yueyang,CN,29.33,113.09,62.89,93,96,1.68,overcast clouds
342,Dakar,SN,14.69,-17.44,77.0,94,23,9.82,few clouds
343,Shahpura,IN,27.38,75.97,73.4,88,75,3.36,mist
344,Porosozero,RU,62.72,32.73,51.24,94,51,4.61,broken clouds
345,Jaisalmer,IN,26.91,70.92,82.92,64,0,16.75,clear sky
346,Maniitsoq,GL,65.42,-52.9,36.1,95,100,9.13,light rain
347,Labuhan,ID,-6.88,112.21,77.61,81,98,9.4,overcast clouds
348,Benguela,AO,-12.58,13.41,71.82,76,89,4.63,overcast clouds
349,Torbay,CA,47.67,-52.73,54.0,66,20,5.82,few clouds
350,Asosa,ET,10.07,34.53,61.36,100,100,2.62,light rain
351,Mae Sai,TH,20.43,99.88,75.2,100,100,2.24,mist
352,Nebolchi,RU,59.12,33.35,55.0,81,0,7.2,clear sky
353,Mehamn,NO,71.04,27.85,40.89,69,0,16.67,clear sky
354,Hare Bay,CA,48.85,-54.01,53.6,50,40,9.17,scattered clouds
355,Sechura,PE,-5.56,-80.82,71.74,58,44,17.38,scattered clouds
356,Anito,PH,12.45,125.29,77.85,89,97,2.75,light rain
357,Skelleftea,SE,64.75,20.95,44.01,93,100,10.29,moderate rain
358,Mahebourg,MU,-20.41,57.7,68.0,82,40,4.7,scattered clouds
359,Noumea,NC,-22.28,166.46,80.01,83,90,6.93,overcast clouds
360,Tateyama,JP,34.98,139.87,66.0,91,100,10.69,light rain
361,Dinguiraye,GN,11.3,-10.72,73.26,90,97,2.64,light rain
362,Lakki Marwat,PK,32.61,70.91,82.15,24,0,5.46,clear sky
363,Thunder Bay,CA,48.4,-89.32,57.2,93,90,5.82,overcast clouds
364,Teguise,ES,29.06,-13.56,73.4,73,20,20.8,few clouds
